Cons;﻿ProductID;Name;ProductModel;CultureID;Clasification
27;773 ;Mountain-100 Silver, 44 ;Mountain-100 ;en;Mountain
28;774 ;Mountain-100 Silver, 48 ;Mountain-100 ;en;Mountain
29;775 ;Mountain-100 Black, 38 ;Mountain-100 ;en;Mountain
30;776 ;Mountain-100 Black, 42 ;Mountain-100 ;en;Mountain
31;777 ;Mountain-100 Black, 44 ;Mountain-100 ;en;Mountain
32;778 ;Mountain-100 Black, 48 ;Mountain-100 ;en;Mountain
33;977 ;Road-750 Black, 58 ;Road-750 ;en;Road
34;997 ;Road-750 Black, 44 ;Road-750 ;en;Road
35;998 ;Road-750 Black, 48 ;Road-750 ;en;Road
36;999 ;Road-750 Black, 52 ;Road-750 ;en;Road
37;759 ;Road-650 Red, 58 ;Road-650 ;en;Road
38;760 ;Road-650 Red, 60 ;Road-650 ;en;Road
39;761 ;Road-650 Red, 62 ;Road-650 ;en;Road
40;762 ;Road-650 Red, 44 ;Road-650 ;en;Road
41;769 ;Road-650 Black, 48 ;Road-650 ;en;Road
42;770 ;Road-650 Black, 52 ;Road-650 ;en;Road
43;763 ;Road-650 Red, 48 ;Road-650 ;en;Road
44;764 ;Road-650 Red, 52 ;Road-650 ;en;Road
45;765 ;Road-650 Black, 58 ;Road-650 ;en;Road
46;766 ;Road-650 Black, 60 ;Road-650 ;en;Road
47;767 ;Road-650 Black, 62 ;Road-650 ;en;Road
48;768 ;Road-650 Black, 44 ;Road-650 ;en;Road
49;797 ;Road-550-W Yellow, 38 ;Road-550-W ;en;Road
50;798 ;Road-550-W Yellow, 40 ;Road-550-W ;en;Road
51;799 ;Road-550-W Yellow, 42 ;Road-550-W ;en;Road
52;800 ;Road-550-W Yellow, 44 ;Road-550-W ;en;Road
53;801 ;Road-550-W Yellow, 48 ;Road-550-W ;en;Road
54;754 ;Road-450 Red, 58 ;Road-450 ;en;Road
55;755 ;Road-450 Red, 60 ;Road-450 ;en;Road
56;756 ;Road-450 Red, 44 ;Road-450 ;en;Road
57;757 ;Road-450 Red, 48 ;Road-450 ;en;Road
58;758 ;Road-450 Red, 52 ;Road-450 ;en;Road
59;973 ;Road-350-W Yellow, 40 ;Road-350-W ;en;Road
60;974 ;Road-350-W Yellow, 42 ;Road-350-W ;en;Road
61;975 ;Road-350-W Yellow, 44 ;Road-350-W ;en;Road
62;976 ;Road-350-W Yellow, 48 ;Road-350-W ;en;Road
63;789 ;Road-250 Red, 44 ;Road-250 ;en;Road
64;790 ;Road-250 Red, 48 ;Road-250 ;en;Road
65;791 ;Road-250 Red, 52 ;Road-250 ;en;Road
66;792 ;Road-250 Red, 58 ;Road-250 ;en;Road
67;793 ;Road-250 Black, 44 ;Road-250 ;en;Road
68;794 ;Road-250 Black, 48 ;Road-250 ;en;Road
69;795 ;Road-250 Black, 52 ;Road-250 ;en;Road
70;796 ;Road-250 Black, 58 ;Road-250 ;en;Road
71;749 ;Road-150 Red, 62 ;Road-150 ;en;Road
72;750 ;Road-150 Red, 44 ;Road-150 ;en;Road
73;751 ;Road-150 Red, 48 ;Road-150 ;en;Road
74;752 ;Road-150 Red, 52 ;Road-150 ;en;Road
75;753 ;Road-150 Red, 56 ;Road-150 ;en;Road
76;958 ;Touring-3000 Blue, 54 ;Touring-3000 ;en;Touring
77;959 ;Touring-3000 Blue, 58 ;Touring-3000 ;en;Touring
78;960 ;Touring-3000 Blue, 62 ;Touring-3000 ;en;Touring
79;961 ;Touring-3000 Yellow, 44 ;Touring-3000 ;en;Touring
80;962 ;Touring-3000 Yellow, 50 ;Touring-3000 ;en;Touring
81;963 ;Touring-3000 Yellow, 54 ;Touring-3000 ;en;Touring
82;964 ;Touring-3000 Yellow, 58 ;Touring-3000 ;en;Touring
83;965 ;Touring-3000 Yellow, 62 ;Touring-3000 ;en;Touring
84;978 ;Touring-3000 Blue, 44 ;Touring-3000 ;en;Touring
85;979 ;Touring-3000 Blue, 50 ;Touring-3000 ;en;Touring
86;953 ;Touring-2000 Blue, 60 ;Touring-2000 ;en;Touring
87;970 ;Touring-2000 Blue, 46 ;Touring-2000 ;en;Touring
88;971 ;Touring-2000 Blue, 50 ;Touring-2000 ;en;Touring
89;972 ;Touring-2000 Blue, 54 ;Touring-2000 ;en;Touring
90;954 ;Touring-1000 Yellow, 46 ;Touring-1000 ;en;Touring
91;955 ;Touring-1000 Yellow, 50 ;Touring-1000 ;en;Touring
92;956 ;Touring-1000 Yellow, 54 ;Touring-1000 ;en;Touring
93;957 ;Touring-1000 Yellow, 60 ;Touring-1000 ;en;Touring
94;966 ;Touring-1000 Blue, 46 ;Touring-1000 ;en;Touring
95;967 ;Touring-1000 Blue, 50 ;Touring-1000 ;en;Touring
96;968 ;Touring-1000 Blue, 54 ;Touring-1000 ;en;Touring
97;969 ;Touring-1000 Blue, 60 ;Touring-1000 ;en;Touring
98;952 ;Chain ;Chain ;en;No clasificated
99;949 ;LL Crankset ;LL Crankset ;en;No clasificated
100;950 ;ML Crankset ;ML Crankset ;en;No clasificated
101;951 ;HL Crankset ;HL Crankset ;en;No clasificated
102;948 ;Front Brakes ;Front Brakes ;en;No clasificated
103;945 ;Front Derailleur ;Front Derailleur ;en;No clasificated
104;802 ;LL Fork ;LL Fork ;en;No clasificated
105;803 ;ML Fork ;ML Fork ;en;No clasificated
106;804 ;HL Fork ;HL Fork ;en;No clasificated
107;917 ;LL Mountain Frame - Silver, 42 ;LL Mountain Frame ;en;Mountain
108;918 ;LL Mountain Frame - Silver, 44 ;LL Mountain Frame ;en;Mountain
109;919 ;LL Mountain Frame - Silver, 48 ;LL Mountain Frame ;en;Mountain
110;920 ;LL Mountain Frame - Silver, 52 ;LL Mountain Frame ;en;Mountain
111;924 ;LL Mountain Frame - Black, 42 ;LL Mountain Frame ;en;Mountain
112;925 ;LL Mountain Frame - Black, 44 ;LL Mountain Frame ;en;Mountain
113;926 ;LL Mountain Frame - Black, 48 ;LL Mountain Frame ;en;Mountain
114;927 ;LL Mountain Frame - Black, 52 ;LL Mountain Frame ;en;Mountain
115;943 ;LL Mountain Frame - Black, 40 ;LL Mountain Frame ;en;Mountain
116;944 ;LL Mountain Frame - Silver, 40 ;LL Mountain Frame ;en;Mountain
117;814 ;ML Mountain Frame - Black, 38 ;ML Mountain Frame-W ;en;Mountain
118;904 ;ML Mountain Frame-W - Silver, 40 ;ML Mountain Frame-W ;en;Mountain
119;905 ;ML Mountain Frame-W - Silver, 42 ;ML Mountain Frame-W ;en;Mountain
120;906 ;ML Mountain Frame-W - Silver, 46 ;ML Mountain Frame-W ;en;Mountain
121;942 ;ML Mountain Frame-W - Silver, 38 ;ML Mountain Frame-W ;en;Mountain
122;830 ;ML Mountain Frame - Black, 40 ;ML Mountain Frame ;en;Mountain
123;831 ;ML Mountain Frame - Black, 44 ;ML Mountain Frame ;en;Mountain
124;832 ;ML Mountain Frame - Black, 48 ;ML Mountain Frame ;en;Mountain
125;739 ;HL Mountain Frame - Silver, 42 ;HL Mountain Frame ;en;Mountain
126;740 ;HL Mountain Frame - Silver, 44 ;HL Mountain Frame ;en;Mountain
127;741 ;HL Mountain Frame - Silver, 48 ;HL Mountain Frame ;en;Mountain
128;742 ;HL Mountain Frame - Silver, 46 ;HL Mountain Frame ;en;Mountain
129;743 ;HL Mountain Frame - Black, 42 ;HL Mountain Frame ;en;Mountain
130;744 ;HL Mountain Frame - Black, 44 ;HL Mountain Frame ;en;Mountain
131;745 ;HL Mountain Frame - Black, 48 ;HL Mountain Frame ;en;Mountain
132;746 ;HL Mountain Frame - Black, 46 ;HL Mountain Frame ;en;Mountain
133;747 ;HL Mountain Frame - Black, 38 ;HL Mountain Frame ;en;Mountain
134;748 ;HL Mountain Frame - Silver, 38 ;HL Mountain Frame ;en;Mountain
135;822 ;ML Road Frame-W - Yellow, 38 ;ML Road Frame-W ;en;Road
136;833 ;ML Road Frame-W - Yellow, 40 ;ML Road Frame-W ;en;Road
137;834 ;ML Road Frame-W - Yellow, 42 ;ML Road Frame-W ;en;Road
138;835 ;ML Road Frame-W - Yellow, 44 ;ML Road Frame-W ;en;Road
139;836 ;ML Road Frame-W - Yellow, 48 ;ML Road Frame-W ;en;Road
140;815 ;LL Mountain Front Wheel ;LL Mountain Front Wheel ;en;Mountain
141;816 ;ML Mountain Front Wheel ;ML Mountain Front Wheel ;en;Mountain
142;817 ;HL Mountain Front Wheel ;HL Mountain Front Wheel ;en;Mountain
143;818 ;LL Road Front Wheel ;LL Road Front Wheel ;en;Road
144;819 ;ML Road Front Wheel ;ML Road Front Wheel ;en;Road
145;820 ;HL Road Front Wheel ;HL Road Front Wheel ;en;Road
146;821 ;Touring Front Wheel ;Touring Front Wheel ;en;Touring
147;808 ;LL Mountain Handlebars ;LL Mountain Handlebars ;en;Mountain
148;809 ;ML Mountain Handlebars ;ML Mountain Handlebars ;en;Mountain
149;810 ;HL Mountain Handlebars ;HL Mountain Handlebars ;en;Mountain
150;811 ;LL Road Handlebars ;LL Road Handlebars ;en;Road
151;812 ;ML Road Handlebars ;ML Road Handlebars ;en;Road
152;813 ;HL Road Handlebars ;HL Road Handlebars ;en;Road
153;946 ;LL Touring Handlebars ;LL Touring Handlebars ;en;Touring
154;947 ;HL Touring Handlebars ;HL Touring Handlebars ;en;Touring
155;805 ;LL Headset ;LL Headset ;en;No clasificated
156;806 ;ML Headset ;ML Headset ;en;No clasificated
157;807 ;HL Headset ;HL Headset ;en;No clasificated
158;935 ;LL Mountain Pedal ;LL Mountain Pedal ;en;Mountain
159;936 ;ML Mountain Pedal ;ML Mountain Pedal ;en;Mountain
160;937 ;HL Mountain Pedal ;HL Mountain Pedal ;en;Mountain
161;938 ;LL Road Pedal ;LL Road Pedal ;en;Road
162;939 ;ML Road Pedal ;ML Road Pedal ;en;Road
163;940 ;HL Road Pedal ;HL Road Pedal ;en;Road
164;941 ;Touring Pedal ;Touring Pedal ;en;Touring
165;827 ;ML Road Rear Wheel ;ML Road Rear Wheel ;en;Road
166;828 ;HL Road Rear Wheel ;HL Road Rear Wheel ;en;Road
167;829 ;Touring Rear Wheel ;Touring Rear Wheel ;en;Touring
168;908 ;LL Mountain Seat/Saddle ;LL Mountain Seat/Saddle 2 ;en;Mountain
169;909 ;ML Mountain Seat/Saddle ;ML Mountain Seat/Saddle 2 ;en;Mountain
170;910 ;HL Mountain Seat/Saddle ;HL Mountain Seat/Saddle 2 ;en;Mountain
171;911 ;LL Road Seat/Saddle ;LL Road Seat/Saddle 1 ;en;Road
172;912 ;ML Road Seat/Saddle ;ML Road Seat/Saddle 2 ;en;Road
173;913 ;HL Road Seat/Saddle ;HL Road Seat/Saddle 2 ;en;Road
174;914 ;LL Touring Seat/Saddle ;LL Touring Seat/Saddle ;en;Touring
175;915 ;ML Touring Seat/Saddle ;ML Touring Seat/Saddle ;en;Touring
176;916 ;HL Touring Seat/Saddle ;HL Touring Seat/Saddle ;en;Touring
177;928 ;LL Mountain Tire ;LL Mountain Tire ;en;Mountain
178;929 ;ML Mountain Tire ;ML Mountain Tire ;en;Mountain
179;930 ;HL Mountain Tire ;HL Mountain Tire ;en;Mountain
180;931 ;LL Road Tire ;LL Road Tire ;en;Road
181;932 ;ML Road Tire ;ML Road Tire ;en;Road
182;933 ;HL Road Tire ;HL Road Tire ;en;Road
183;934 ;Touring Tire ;Touring Tire ;en;Touring
184;921 ;Mountain Tire Tube ;Mountain Tire Tube ;en;Mountain
185;922 ;Road Tire Tube ;Road Tire Tube ;en;Road
186;923 ;Touring Tire Tube ;Touring Tire Tube ;en;Touring
187;722 ;LL Road Frame - Black, 58 ;LL Road Frame ;en;Road
188;723 ;LL Road Frame - Black, 60 ;LL Road Frame ;en;Road
189;724 ;LL Road Frame - Black, 62 ;LL Road Frame ;en;Road
190;725 ;LL Road Frame - Red, 44 ;LL Road Frame ;en;Road
191;726 ;LL Road Frame - Red, 48 ;LL Road Frame ;en;Road
192;727 ;LL Road Frame - Red, 52 ;LL Road Frame ;en;Road
193;728 ;LL Road Frame - Red, 58 ;LL Road Frame ;en;Road
194;729 ;LL Road Frame - Red, 60 ;LL Road Frame ;en;Road
195;730 ;LL Road Frame - Red, 62 ;LL Road Frame ;en;Road
196;736 ;LL Road Frame - Black, 44 ;LL Road Frame ;en;Road
197;737 ;LL Road Frame - Black, 48 ;LL Road Frame ;en;Road
198;738 ;LL Road Frame - Black, 52 ;LL Road Frame ;en;Road
199;731 ;ML Road Frame - Red, 44 ;ML Road Frame ;en;Road
200;732 ;ML Road Frame - Red, 48 ;ML Road Frame ;en;Road
201;733 ;ML Road Frame - Red, 52 ;ML Road Frame ;en;Road
202;734 ;ML Road Frame - Red, 58 ;ML Road Frame ;en;Road
203;735 ;ML Road Frame - Red, 60 ;ML Road Frame ;en;Road
204;680 ;HL Road Frame - Black, 58 ;HL Road Frame ;en;Road
205;706 ;HL Road Frame - Red, 58 ;HL Road Frame ;en;Road
206;717 ;HL Road Frame - Red, 62 ;HL Road Frame ;en;Road
207;718 ;HL Road Frame - Red, 44 ;HL Road Frame ;en;Road
208;719 ;HL Road Frame - Red, 48 ;HL Road Frame ;en;Road
209;720 ;HL Road Frame - Red, 52 ;HL Road Frame ;en;Road
210;721 ;HL Road Frame - Red, 56 ;HL Road Frame ;en;Road
211;837 ;HL Road Frame - Black, 62 ;HL Road Frame ;en;Road
212;838 ;HL Road Frame - Black, 44 ;HL Road Frame ;en;Road
213;839 ;HL Road Frame - Black, 48 ;HL Road Frame ;en;Road
214;840 ;HL Road Frame - Black, 52 ;HL Road Frame ;en;Road
215;886 ;LL Touring Frame - Yellow, 62 ;LL Touring Frame ;en;Touring
216;895 ;LL Touring Frame - Blue, 50 ;LL Touring Frame ;en;Touring
217;896 ;LL Touring Frame - Blue, 54 ;LL Touring Frame ;en;Touring
218;897 ;LL Touring Frame - Blue, 58 ;LL Touring Frame ;en;Touring
219;898 ;LL Touring Frame - Blue, 62 ;LL Touring Frame ;en;Touring
220;899 ;LL Touring Frame - Yellow, 44 ;LL Touring Frame ;en;Touring
221;900 ;LL Touring Frame - Yellow, 50 ;LL Touring Frame ;en;Touring
222;901 ;LL Touring Frame - Yellow, 54 ;LL Touring Frame ;en;Touring
223;902 ;LL Touring Frame - Yellow, 58 ;LL Touring Frame ;en;Touring
224;903 ;LL Touring Frame - Blue, 44 ;LL Touring Frame ;en;Touring
225;885 ;HL Touring Frame - Yellow, 60 ;HL Touring Frame ;en;Touring
226;887 ;HL Touring Frame - Yellow, 46 ;HL Touring Frame ;en;Touring
227;888 ;HL Touring Frame - Yellow, 50 ;HL Touring Frame ;en;Touring
228;889 ;HL Touring Frame - Yellow, 54 ;HL Touring Frame ;en;Touring
229;890 ;HL Touring Frame - Blue, 46 ;HL Touring Frame ;en;Touring
230;891 ;HL Touring Frame - Blue, 50 ;HL Touring Frame ;en;Touring
231;892 ;HL Touring Frame - Blue, 54 ;HL Touring Frame ;en;Touring
232;893 ;HL Touring Frame - Blue, 60 ;HL Touring Frame ;en;Touring
233;846 ;Taillights - Battery-Powered ;Taillight ;en;No clasificated
234;872 ;Road Bottle Cage ;Road Bottle Cage ;en;Road
235;870 ;Water Bottle - 30 oz. ;Water Bottle ;en;No clasificated
236;876 ;Hitch Rack - 4-Bike ;Hitch Rack - 4-Bike ;en;No clasificated
237;878 ;Fender Set - Mountain ;Fender Set - Mountain ;en;Mountain
238;709 ;Mountain Bike Socks, M ;Mountain Bike Socks ;en;Mountain
239;710 ;Mountain Bike Socks, L ;Mountain Bike Socks ;en;Mountain
240;844 ;Minipump ;Minipump ;en;No clasificated
241;855 ;Men's Bib-Shorts, S ;Men's Bib-Shorts ;en;No clasificated
242;856 ;Men's Bib-Shorts, M ;Men's Bib-Shorts ;en;No clasificated
243;857 ;Men's Bib-Shorts, L ;Men's Bib-Shorts ;en;No clasificated
244;842 ;Touring-Panniers, Large ;Touring-Panniers ;en;Touring
245;858 ;Half-Finger Gloves, S ;Half-Finger Gloves ;en;No clasificated
246;859 ;Half-Finger Gloves, M ;Half-Finger Gloves ;en;No clasificated
247;860 ;Half-Finger Gloves, L ;Half-Finger Gloves ;en;No clasificated
248;861 ;Full-Finger Gloves, S ;Full-Finger Gloves ;en;No clasificated
249;862 ;Full-Finger Gloves, M ;Full-Finger Gloves ;en;No clasificated
250;863 ;Full-Finger Gloves, L ;Full-Finger Gloves ;en;No clasificated
251;867 ;Women's Mountain Shorts, S ;Women's Mountain Shorts ;en;Mountain
252;868 ;Women's Mountain Shorts, M ;Women's Mountain Shorts ;en;Mountain
253;869 ;Women's Mountain Shorts, L ;Women's Mountain Shorts ;en;Mountain
254;873 ;Patch Kit/8 Patches ;Patch kit ;en;No clasificated
255;864 ;Classic Vest, S ;Classic Vest ;en;Classic
256;865 ;Classic Vest, M ;Classic Vest ;en;Classic
257;866 ;Classic Vest, L ;Classic Vest ;en;Classic
258;841 ;Men's Sports Shorts, S ;Men's Sports Shorts ;en;No clasificated
259;849 ;Men's Sports Shorts, M ;Men's Sports Shorts ;en;No clasificated
260;850 ;Men's Sports Shorts, L ;Men's Sports Shorts ;en;No clasificated
261;851 ;Men's Sports Shorts, XL ;Men's Sports Shorts ;en;No clasificated
262;879 ;All-Purpose Bike Stand ;All-Purpose Bike Stand ;en;No clasificated
263;847 ;Headlights - Dual-Beam ;Headlights - Dual-Beam ;en;No clasificated
264;848 ;Headlights - Weatherproof ;Headlights - Weatherproof ;en;No clasificated
265;881 ;Short-Sleeve Classic Jersey, S ;Short-Sleeve Classic Jersey ;en;Classic
266;882 ;Short-Sleeve Classic Jersey, M ;Short-Sleeve Classic Jersey ;en;Classic
267;883 ;Short-Sleeve Classic Jersey, L ;Short-Sleeve Classic Jersey ;en;Classic
268;884 ;Short-Sleeve Classic Jersey, XL ;Short-Sleeve Classic Jersey ;en;Classic
269;845 ;Mountain Pump ;Mountain Pump ;en;Mountain
270;874 ;Racing Socks, M ;Racing Socks ;en;No clasificated
271;875 ;Racing Socks, L ;Racing Socks ;en;No clasificated
272;871 ;Mountain Bottle Cage ;Mountain Bottle Cage ;en;Mountain
273;712 ;AWC Logo Cap ;Cycling Cap ;en;No clasificated
274;713 ;Long-Sleeve Logo Jersey, S ;Long-Sleeve Logo Jersey ;en;No clasificated
275;714 ;Long-Sleeve Logo Jersey, M ;Long-Sleeve Logo Jersey ;en;No clasificated
276;715 ;Long-Sleeve Logo Jersey, L ;Long-Sleeve Logo Jersey ;en;No clasificated
277;716 ;Long-Sleeve Logo Jersey, XL ;Long-Sleeve Logo Jersey ;en;No clasificated
278;707 ;Sport-100 Helmet, Red ;Sport-100 ;en;No clasificated
279;708 ;Sport-100 Helmet, Black ;Sport-100 ;en;No clasificated
280;711 ;Sport-100 Helmet, Blue ;Sport-100 ;en;No clasificated
281;880 ;Hydration Pack - 70 oz. ;Hydration Pack ;en;No clasificated
282;852 ;Women's Tights, S ;Women's Tights ;en;No clasificated
283;853 ;Women's Tights, M ;Women's Tights ;en;No clasificated
284;854 ;Women's Tights, L ;Women's Tights ;en;No clasificated
285;877 ;Bike Wash - Dissolver ;Bike Wash ;en;No clasificated
286;843 ;Cable Lock ;Cable Lock ;en;No clasificated
287;994 ;LL Bottom Bracket ;LL Bottom Bracket ;ar;No clasificated
288;995 ;ML Bottom Bracket ;ML Bottom Bracket ;ar;No clasificated
289;996 ;HL Bottom Bracket ;HL Bottom Bracket ;ar;No clasificated
290;984 ;Mountain-500 Silver, 40 ;Mountain-500 ;ar;Mountain
291;985 ;Mountain-500 Silver, 42 ;Mountain-500 ;ar;Mountain
292;986 ;Mountain-500 Silver, 44 ;Mountain-500 ;ar;Mountain
293;987 ;Mountain-500 Silver, 48 ;Mountain-500 ;ar;Mountain
294;988 ;Mountain-500 Silver, 52 ;Mountain-500 ;ar;Mountain
295;989 ;Mountain-500 Black, 40 ;Mountain-500 ;ar;Mountain
296;990 ;Mountain-500 Black, 42 ;Mountain-500 ;ar;Mountain
297;991 ;Mountain-500 Black, 44 ;Mountain-500 ;ar;Mountain
298;992 ;Mountain-500 Black, 48 ;Mountain-500 ;ar;Mountain
299;993 ;Mountain-500 Black, 52 ;Mountain-500 ;ar;Mountain
300;980 ;Mountain-400-W Silver, 38 ;Mountain-400-W ;ar;Mountain
301;981 ;Mountain-400-W Silver, 40 ;Mountain-400-W ;ar;Mountain
302;982 ;Mountain-400-W Silver, 42 ;Mountain-400-W ;ar;Mountain
303;983 ;Mountain-400-W Silver, 46 ;Mountain-400-W ;ar;Mountain
304;785 ;Mountain-300 Black, 38 ;Mountain-300 ;ar;Mountain
305;786 ;Mountain-300 Black, 40 ;Mountain-300 ;ar;Mountain
306;787 ;Mountain-300 Black, 44 ;Mountain-300 ;ar;Mountain
307;788 ;Mountain-300 Black, 48 ;Mountain-300 ;ar;Mountain
308;779 ;Mountain-200 Silver, 38 ;Mountain-200 ;ar;Mountain
309;780 ;Mountain-200 Silver, 42 ;Mountain-200 ;ar;Mountain
310;781 ;Mountain-200 Silver, 46 ;Mountain-200 ;ar;Mountain
311;782 ;Mountain-200 Black, 38 ;Mountain-200 ;ar;Mountain
312;783 ;Mountain-200 Black, 42 ;Mountain-200 ;ar;Mountain
313;784 ;Mountain-200 Black, 46 ;Mountain-200 ;ar;Mountain
314;771 ;Mountain-100 Silver, 38 ;Mountain-100 ;ar;Mountain
315;772 ;Mountain-100 Silver, 42 ;Mountain-100 ;ar;Mountain
316;773 ;Mountain-100 Silver, 44 ;Mountain-100 ;ar;Mountain
317;774 ;Mountain-100 Silver, 48 ;Mountain-100 ;ar;Mountain
318;775 ;Mountain-100 Black, 38 ;Mountain-100 ;ar;Mountain
319;776 ;Mountain-100 Black, 42 ;Mountain-100 ;ar;Mountain
320;777 ;Mountain-100 Black, 44 ;Mountain-100 ;ar;Mountain
321;778 ;Mountain-100 Black, 48 ;Mountain-100 ;ar;Mountain
322;977 ;Road-750 Black, 58 ;Road-750 ;ar;Road
323;997 ;Road-750 Black, 44 ;Road-750 ;ar;Road
324;998 ;Road-750 Black, 48 ;Road-750 ;ar;Road
325;999 ;Road-750 Black, 52 ;Road-750 ;ar;Road
326;759 ;Road-650 Red, 58 ;Road-650 ;ar;Road
327;760 ;Road-650 Red, 60 ;Road-650 ;ar;Road
328;761 ;Road-650 Red, 62 ;Road-650 ;ar;Road
329;762 ;Road-650 Red, 44 ;Road-650 ;ar;Road
330;769 ;Road-650 Black, 48 ;Road-650 ;ar;Road
331;770 ;Road-650 Black, 52 ;Road-650 ;ar;Road
332;763 ;Road-650 Red, 48 ;Road-650 ;ar;Road
333;764 ;Road-650 Red, 52 ;Road-650 ;ar;Road
334;765 ;Road-650 Black, 58 ;Road-650 ;ar;Road
335;766 ;Road-650 Black, 60 ;Road-650 ;ar;Road
336;767 ;Road-650 Black, 62 ;Road-650 ;ar;Road
337;768 ;Road-650 Black, 44 ;Road-650 ;ar;Road
338;797 ;Road-550-W Yellow, 38 ;Road-550-W ;ar;Road
339;798 ;Road-550-W Yellow, 40 ;Road-550-W ;ar;Road
340;799 ;Road-550-W Yellow, 42 ;Road-550-W ;ar;Road
341;800 ;Road-550-W Yellow, 44 ;Road-550-W ;ar;Road
342;801 ;Road-550-W Yellow, 48 ;Road-550-W ;ar;Road
343;754 ;Road-450 Red, 58 ;Road-450 ;ar;Road
344;755 ;Road-450 Red, 60 ;Road-450 ;ar;Road
345;756 ;Road-450 Red, 44 ;Road-450 ;ar;Road
346;757 ;Road-450 Red, 48 ;Road-450 ;ar;Road
347;758 ;Road-450 Red, 52 ;Road-450 ;ar;Road
348;973 ;Road-350-W Yellow, 40 ;Road-350-W ;ar;Road
349;974 ;Road-350-W Yellow, 42 ;Road-350-W ;ar;Road
350;975 ;Road-350-W Yellow, 44 ;Road-350-W ;ar;Road
351;976 ;Road-350-W Yellow, 48 ;Road-350-W ;ar;Road
352;789 ;Road-250 Red, 44 ;Road-250 ;ar;Road
353;790 ;Road-250 Red, 48 ;Road-250 ;ar;Road
354;791 ;Road-250 Red, 52 ;Road-250 ;ar;Road
355;792 ;Road-250 Red, 58 ;Road-250 ;ar;Road
356;793 ;Road-250 Black, 44 ;Road-250 ;ar;Road
357;794 ;Road-250 Black, 48 ;Road-250 ;ar;Road
358;795 ;Road-250 Black, 52 ;Road-250 ;ar;Road
359;796 ;Road-250 Black, 58 ;Road-250 ;ar;Road
360;749 ;Road-150 Red, 62 ;Road-150 ;ar;Road
361;750 ;Road-150 Red, 44 ;Road-150 ;ar;Road
362;751 ;Road-150 Red, 48 ;Road-150 ;ar;Road
363;752 ;Road-150 Red, 52 ;Road-150 ;ar;Road
364;753 ;Road-150 Red, 56 ;Road-150 ;ar;Road
365;958 ;Touring-3000 Blue, 54 ;Touring-3000 ;ar;Touring
366;959 ;Touring-3000 Blue, 58 ;Touring-3000 ;ar;Touring
367;960 ;Touring-3000 Blue, 62 ;Touring-3000 ;ar;Touring
368;961 ;Touring-3000 Yellow, 44 ;Touring-3000 ;ar;Touring
369;962 ;Touring-3000 Yellow, 50 ;Touring-3000 ;ar;Touring
370;963 ;Touring-3000 Yellow, 54 ;Touring-3000 ;ar;Touring
371;964 ;Touring-3000 Yellow, 58 ;Touring-3000 ;ar;Touring
372;965 ;Touring-3000 Yellow, 62 ;Touring-3000 ;ar;Touring
373;978 ;Touring-3000 Blue, 44 ;Touring-3000 ;ar;Touring
374;979 ;Touring-3000 Blue, 50 ;Touring-3000 ;ar;Touring
375;953 ;Touring-2000 Blue, 60 ;Touring-2000 ;ar;Touring
376;970 ;Touring-2000 Blue, 46 ;Touring-2000 ;ar;Touring
377;971 ;Touring-2000 Blue, 50 ;Touring-2000 ;ar;Touring
